Year,Month,Class,SKU,Sum of Amount
2023,Jan,2H Honda Herbs S.A.S,Basil,3300.338394
2023,Jan,2H Honda Herbs S.A.S,CM-Basil,-734.81
2023,Jan,Agroindustrias el Molino de la Costa SAS,Basil,44692.52797
2023,Jan,Agroindustrias el Molino de la Costa SAS,CM-Basil,-4208.4
2023,Jan,Agroindustrias el Molino de la Costa SAS,CM-Thai Basil,-379.5
2023,Jan,Agroindustrias el Molino de la Costa SAS,Temperature Recorder,0
2023,Jan,Agroindustrias el Molino de la Costa SAS,Thai Basil,2007.852673
2023,Jan,Basil Farm SAS,Basil,184469.2029
2023,Jan,Basil Farm SAS,CM-Basil,-21711.9
2023,Jan,Basil Farm SAS,Temperature Recorder,0
2023,Jan,Eshkol Premium SAS,Chives,4557.75
2023,Jan,Eshkol Premium SAS,CM-Mint,-280
2023,Jan,Eshkol Premium SAS,CM-Oregano,-8.4
2023,Jan,Eshkol Premium SAS,CM-Rosemary,-32.4
2023,Jan,Eshkol Premium SAS,CM-Thyme,-214.65
2023,Jan,Eshkol Premium SAS,Mint,7448
2023,Jan,Eshkol Premium SAS,Oregano,1386
2023,Jan,Eshkol Premium SAS,Rosemary,3645
2023,Jan,Eshkol Premium SAS,Tarragon,1122
2023,Jan,Eshkol Premium SAS,Thyme,4920.75
2023,Jan,Garland LLC:JCH Organic SAC,Ginger,1242
2023,Jan,Garland LLC:S.A.T. Montealbo,Garlic,2460
2023,Jan,HLB Specialties LLC:JCH Organic SAC,Ginger,2385
2023,Jan,Inversiones Agricola Tocota SAS,CM-Mint,-557.28
2023,Jan,Inversiones Agricola Tocota SAS,Mint,11775.34249
2023,Jan,Inversiones Agricola Tocota SAS,Thyme,4202.746165
2023,Jan,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,6870.352506
2023,Jan,La Corsaria SAS,Handling,19006.44685
2023,Jan,MD Investments SAS,CM-Rosemary,-42.4
2023,Jan,MD Investments SAS,Rosemary,11652.59602
2023,Jan,Organic Garden SAS,Bay leaf,13295.75896
2023,Jan,Organic Garden SAS,Chives,9771.365186
